Entry Time,Exit Time,Direction,Entry Price,SL Price,TP1 Price,TP2 Price,TP3 Price,Exit Price,R:R Planned,R:R Achieved,Confluences,Session,Confluence Score,P&L ($),P&L (%),Running Equity,HTF Bias,Entry Type,Size (oz),TP1 Hit,TP2 Hit,TP3 Hit,SL Hit
2025-10-23 17:55:00,2025-10-23 18:10:00,short,4132.03,4140.19,4115.72,4107.57,4107.57,4140.22,3.0,-1.07,htf_bias_aligned; liquidity_sweep; bos; fvg,NY_PM,4,-1.3,-0.261,513.95,bearish,FVG,0.15,False,False,False,True
2025-10-24 17:40:00,2025-10-24 17:55:00,short,4132.09,4140.02,4116.21,4108.27,4108.27,4108.27,3.0,2.44,htf_bias_aligned; liquidity_sweep; bos; fib_79; fvg,NY_PM,5,2.9,0.58,516.85,bearish,FVG,0.15,True,True,False,False
2025-10-24 18:10:00,2025-10-24 18:15:00,short,4132.09,4140.27,4115.72,4107.54,4107.54,4107.54,3.0,2.44,silver_bullet; htf_bias_aligned; liquidity_sweep; bos; fib_79; fvg,NY_PM,6,2.99,0.599,519.84,bearish,FVG,0.15,True,True,False,False
2025-10-28 18:30:00,2025-10-28 19:50:00,short,3962.11,3969.95,3946.42,3938.58,3938.58,3962.15,3.0,0.93,silver_bullet; htf_bias_aligned; liquidity_sweep; bos; fib_79; fvg,NY_PM,6,1.17,0.234,521.02,bearish,FVG,0.16,True,False,False,True
2025-10-30 06:05:00,2025-10-30 06:20:00,short,3956.6,3967.9,3934.01,3922.71,3922.71,3968.0,3.0,-1.05,htf_bias_aligned; liquidity_sweep; smt; fvg,London,4,-1.31,-0.262,519.71,bearish,FVG,0.11,False,False,False,True
2025-10-30 06:50:00,2025-10-30 06:55:00,short,3956.6,3968.22,3933.38,3921.77,3921.77,3968.24,3.0,-1.05,htf_bias_aligned; liquidity_sweep; smt; fvg,London,4,-1.34,-0.267,518.37,bearish,FVG,0.11,False,False,False,True
2025-10-31 17:40:00,2025-11-03 00:00:00,long,3994.54,3985.46,4012.72,4021.8,4021.8,3985.42,3.0,-1.06,htf_bias_aligned; liquidity_sweep; bos; smt; fib_79; eq,NY_PM,6,-1.35,-0.269,517.03,bullish,EQ,0.14,False,False,False,True
2025-11-03 19:35:00,2025-11-03 23:05:00,long,4004.73,3998.21,4017.76,4024.27,4024.27,3998.13,3.0,-1.09,silver_bullet; htf_bias_aligned; liquidity_sweep; smt; fvg,NY_PM,5,-1.28,-0.256,515.75,bullish,FVG,0.18,False,False,False,True
2025-11-05 09:15:00,2025-11-05 10:05:00,short,3977.07,3982.97,3965.25,3959.34,3959.34,3959.34,3.0,2.42,htf_bias_aligned; liquidity_sweep; smt; fvg,London,4,2.85,0.571,518.6,bearish,FVG,0.2,True,True,False,False
2025-11-06 13:35:00,2025-11-06 13:45:00,short,4010.36,4015.79,3999.49,3994.06,3994.06,4015.84,3.0,-1.1,htf_bias_aligned; liquidity_sweep; bos; smt; fvg,NY_AM,5,-1.32,-0.263,517.29,bearish,FVG,0.22,False,False,False,True
2025-11-06 14:20:00,2025-11-06 15:00:00,short,4003.68,4009.83,3991.38,3985.23,3985.23,3985.23,3.0,2.42,htf_bias_aligned; pdh_pdl_sweep; bos; smt; fvg,NY_AM,5,2.83,0.565,520.11,bearish,FVG,0.19,True,True,False,False
2025-11-06 18:40:00,2025-11-06 18:45:00,short,3972.02,3978.25,3959.56,3953.33,3953.33,3978.35,3.0,-1.09,htf_bias_aligned; liquidity_sweep; bos; fib_79; fvg,NY_PM,5,-1.3,-0.259,518.82,bearish,FVG,0.19,False,False,False,True
2025-11-11 19:45:00,2025-11-11 20:50:00,long,4120.52,4116.92,4127.71,4131.31,4131.31,4131.31,3.0,2.36,silver_bullet; htf_bias_aligned; liquidity_sweep; bos; fvg,NY_PM,5,2.72,0.543,521.53,bullish,FVG,0.32,True,True,False,False
2025-11-14 08:40:00,2025-11-14 09:30:00,long,4176.05,4167.0,4194.13,4203.17,4203.17,4166.96,3.0,-1.06,silver_bullet; htf_bias_aligned; liquidity_sweep; fib_79; fvg,London,5,-1.34,-0.268,520.19,bullish,FVG,0.14,False,False,False,True
2025-11-14 14:50:00,2025-11-17 05:25:00,long,4060.19,4041.29,4098.0,4116.9,4116.9,4060.15,3.0,0.97,htf_bias_aligned; pdh_pdl_sweep; smt; fvg,NY_AM,4,1.29,0.257,521.48,bullish,FVG,0.07,True,False,False,True
2025-11-17 19:40:00,2025-11-17 20:50:00,short,4034.37,4044.95,4013.22,4002.64,4002.64,4034.38,3.0,0.95,silver_bullet; htf_bias_aligned; liquidity_sweep; bos; choch; fib_79; fvg,NY_PM,7,1.21,0.242,522.69,bearish,FVG,0.12,True,False,False,True
2025-11-19 09:40:00,2025-11-19 09:45:00,long,4085.88,4079.93,4097.78,4103.73,4103.73,4103.73,3.0,2.42,htf_bias_aligned; liquidity_sweep; bos; smt; fvg,London,5,2.88,0.575,525.56,bullish,FVG,0.2,True,True,False,False
2025-11-19 09:45:00,2025-11-19 09:55:00,long,4094.88,4088.34,4107.96,4114.5,4114.5,4114.5,3.0,2.42,htf_bias_aligned; liquidity_sweep; bos; smt; fvg,London,5,3.01,0.602,528.57,bullish,FVG,0.19,True,True,False,False
2025-11-19 19:10:00,2025-11-19 19:15:00,long,4084.36,4075.23,4102.61,4111.73,4111.73,4075.18,3.0,-1.06,silver_bullet; htf_bias_aligned; liquidity_sweep; bos; smt; fvg,NY_PM,6,-1.35,-0.271,527.22,bullish,FVG,0.14,False,False,False,True
2025-11-20 15:00:00,2025-11-20 16:50:00,short,4098.84,4112.99,4070.55,4056.41,4056.41,4056.41,3.0,2.46,silver_bullet; htf_bias_aligned; liquidity_sweep; smt; fvg,NY_AM,5,3.14,0.627,530.36,bearish,FVG,0.09,True,True,False,False
2025-11-21 15:35:00,2025-11-21 15:55:00,short,4061.64,4072.03,4040.85,4030.45,4030.45,4072.12,3.0,-1.06,silver_bullet; htf_bias_aligned; liquidity_sweep; bos; smt; eq,NY_AM,6,-1.32,-0.264,529.04,bearish,EQ,0.12,False,False,False,True
2025-11-24 08:15:00,2025-11-24 09:05:00,short,4061.72,4068.34,4048.48,4041.86,4041.86,4068.43,3.0,-1.09,silver_bullet; htf_bias_aligned; liquidity_sweep; fib_79; fvg,London,5,-1.37,-0.274,527.67,bearish,FVG,0.19,False,False,False,True
2025-11-24 14:35:00,2025-11-24 14:50:00,short,4072.85,4080.13,4058.29,4051.01,4051.01,4080.14,3.0,-1.07,htf_bias_aligned; liquidity_sweep; bos; eq,NY_AM,4,-1.32,-0.265,526.35,bearish,EQ,0.17,False,False,False,True
2025-11-25 07:05:00,2025-11-25 07:10:00,long,4148.56,4143.08,4159.52,4165.0,4165.0,4143.05,3.0,-1.1,htf_bias_aligned; liquidity_sweep; bos; smt; eq,London,5,-1.32,-0.264,525.02,bullish,EQ,0.22,False,False,False,True
2025-11-25 14:35:00,2025-11-25 14:40:00,long,4135.44,4125.93,4154.45,4163.96,4163.96,4125.91,3.0,-1.06,htf_bias_aligned; liquidity_sweep; bos; fvg,NY_AM,4,-0.7,-0.14,524.32,bullish,FVG,0.07,False,False,False,True
2025-11-27 07:10:00,2025-11-27 08:25:00,long,4150.51,4145.71,4160.11,4164.91,4164.91,4164.91,3.0,2.4,htf_bias_aligned; liquidity_sweep; bos; fib_79; fvg,London,5,1.38,0.276,525.7,bullish,FVG,0.12,True,True,False,False
2025-11-27 09:00:00,2025-11-27 09:05:00,long,4162.93,4158.49,4171.82,4176.27,4176.27,4158.49,3.0,-1.11,htf_bias_aligned; liquidity_sweep; bos; eq,London,4,-0.64,-0.129,525.06,bullish,EQ,0.13,False,False,False,True
2025-11-28 13:55:00,2025-11-28 14:10:00,long,4172.54,4166.68,4184.25,4190.1,4190.1,4190.1,3.0,2.41,htf_bias_aligned; liquidity_sweep; bos; fvg,NY_AM,4,1.41,0.283,526.47,bullish,FVG,0.1,True,True,False,False
2025-12-01 14:45:00,2025-12-01 14:50:00,long,4259.31,4247.51,4282.92,4294.72,4294.72,4247.46,3.0,-1.05,htf_bias_aligned; liquidity_sweep; bos; fib_79; eq,NY_AM,5,-0.62,-0.124,525.85,bullish,EQ,0.05,False,False,False,True
2025-12-01 19:50:00,2025-12-01 19:55:00,long,4242.41,4236.13,4254.96,4261.24,4261.24,4236.05,3.0,-1.09,silver_bullet; htf_bias_aligned; liquidity_sweep; bos; fib_79; eq,NY_PM,6,-0.69,-0.137,525.17,bullish,EQ,0.1,False,False,False,True
2025-12-02 08:20:00,2025-12-02 08:50:00,long,4215.62,4210.33,4226.2,4231.49,4231.49,4210.31,3.0,-1.1,silver_bullet; htf_bias_aligned; pdh_pdl_sweep; smt; fib_79; fvg,London,6,-0.64,-0.128,524.53,bullish,FVG,0.11,False,False,False,True
2025-12-02 14:00:00,2025-12-02 15:05:00,long,4210.88,4203.34,4225.95,4233.49,4233.49,4210.78,3.0,0.93,htf_bias_aligned; pdh_pdl_sweep; bos; smt; fvg,NY_AM,5,0.56,0.112,525.09,bullish,FVG,0.08,True,False,False,True
2025-12-02 15:35:00,2025-12-02 15:40:00,long,4227.05,4215.29,4250.56,4262.32,4262.32,4215.26,3.0,-1.04,silver_bullet; htf_bias_aligned; liquidity_sweep; bos; smt; eq,NY_AM,6,-0.61,-0.123,524.47,bullish,EQ,0.05,False,False,False,True
2025-12-03 09:05:00,2025-12-03 11:30:00,short,4201.37,4206.35,4191.4,4186.42,4186.42,4206.45,3.0,-1.12,htf_bias_aligned; liquidity_sweep; bos; smt; eq,London,5,-0.67,-0.134,523.8,bearish,EQ,0.12,False,False,False,True
2025-12-03 19:25:00,2025-12-04 02:05:00,long,4199.64,4193.29,4212.34,4218.7,4218.7,4199.59,3.0,0.92,silver_bullet; htf_bias_aligned; liquidity_sweep; smt; fvg,NY_PM,5,0.58,0.117,524.39,bullish,FVG,0.1,True,False,False,True
2025-12-04 09:40:00,2025-12-04 12:30:00,long,4192.8,4187.51,4203.38,4208.66,4208.66,4192.8,3.0,0.91,htf_bias_aligned; liquidity_sweep; bos; smt; fvg,London,5,0.53,0.105,524.91,bullish,FVG,0.11,True,False,False,True
2025-12-04 13:55:00,2025-12-04 14:40:00,long,4197.71,4190.22,4212.7,4220.19,4220.19,4197.69,3.0,0.93,htf_bias_aligned; pdh_pdl_sweep; bos; smt; fib_79; eq,NY_AM,6,0.56,0.112,525.47,bullish,EQ,0.08,True,False,False,True
2025-12-04 14:40:00,2025-12-04 15:00:00,long,4202.02,4193.39,4219.26,4227.88,4227.88,4193.34,3.0,-1.06,htf_bias_aligned; pdh_pdl_sweep; bos; smt; fib_79; fvg,NY_AM,6,-0.64,-0.128,524.83,bullish,FVG,0.07,False,False,False,True
2025-12-08 14:30:00,2025-12-08 14:40:00,long,4204.89,4198.32,4218.01,4224.58,4224.58,4198.26,3.0,-1.09,htf_bias_aligned; liquidity_sweep; smt; fvg,NY_AM,4,-0.64,-0.128,524.19,bullish,FVG,0.09,False,False,False,True
2025-12-08 15:15:00,2025-12-08 15:20:00,long,4204.89,4194.19,4226.29,4236.99,4236.99,4194.09,3.0,-1.06,silver_bullet; htf_bias_aligned; liquidity_sweep; smt; fvg,NY_AM,5,-0.68,-0.136,523.51,bullish,FVG,0.06,False,False,False,True
2025-12-15 18:55:00,2025-12-15 19:00:00,long,4299.39,4294.06,4310.04,4315.37,4315.37,4315.37,3.0,2.41,htf_bias_aligned; liquidity_sweep; bos; smt; fvg,NY_PM,5,1.41,0.282,524.92,bullish,FVG,0.11,True,True,False,False
2025-12-15 19:20:00,2025-12-15 20:20:00,long,4312.23,4306.69,4323.3,4328.84,4328.84,4306.62,3.0,-1.1,silver_bullet; htf_bias_aligned; liquidity_sweep; bos; smt; fvg,NY_PM,6,-0.67,-0.134,524.25,bullish,FVG,0.11,False,False,False,True
2025-12-16 08:50:00,2025-12-16 08:55:00,short,4279.85,4285.71,4268.13,4262.27,4262.27,4285.78,3.0,-1.1,silver_bullet; htf_bias_aligned; pdh_pdl_sweep; bos; fvg,London,5,-0.64,-0.129,523.61,bearish,FVG,0.1,False,False,False,True
2025-12-16 19:25:00,2025-12-17 01:35:00,long,4305.16,4298.42,4318.65,4325.39,4325.39,4325.39,3.0,2.43,silver_bullet; htf_bias_aligned; liquidity_sweep; bos; smt; fvg,NY_PM,6,1.47,0.294,525.08,bullish,FVG,0.09,True,True,False,False
2025-12-18 13:30:00,2025-12-18 13:50:00,long,4321.19,4314.49,4334.59,4341.28,4341.28,4341.28,3.0,2.43,htf_bias_aligned; liquidity_sweep; bos; smt; fvg,NY_AM,5,1.46,0.292,526.54,bullish,FVG,0.09,True,True,False,False
2025-12-18 14:50:00,2025-12-18 16:10:00,long,4324.81,4313.59,4347.23,4358.44,4358.44,4358.44,3.0,2.46,htf_bias_aligned; liquidity_sweep; bos; smt; fvg,NY_AM,5,1.65,0.33,528.19,bullish,FVG,0.06,True,True,False,False
2025-12-18 18:55:00,2025-12-18 19:00:00,long,4335.73,4327.35,4352.49,4360.87,4360.87,4327.28,3.0,-1.07,htf_bias_aligned; liquidity_sweep; fib_79; fvg,NY_PM,4,-0.63,-0.125,527.57,bullish,FVG,0.07,False,False,False,True
2025-12-19 07:00:00,2025-12-19 07:55:00,long,4325.34,4321.71,4332.6,4336.23,4336.23,4321.7,3.0,-1.14,htf_bias_aligned; liquidity_sweep; bos; fvg,London,4,-0.66,-0.132,526.9,bullish,FVG,0.16,False,False,False,True
2025-12-19 14:45:00,2025-12-19 17:50:00,long,4330.03,4321.7,4346.7,4355.03,4355.03,4355.03,3.0,2.44,htf_bias_aligned; liquidity_sweep; bos; fvg,NY_AM,4,1.42,0.285,528.33,bullish,FVG,0.07,True,True,False,False
2025-12-23 13:50:00,2025-12-23 13:55:00,long,4494.45,4485.98,4511.38,4519.85,4519.85,4485.91,3.0,-1.07,htf_bias_aligned; liquidity_sweep; bos; eq,NY_AM,4,-0.63,-0.127,527.69,bullish,EQ,0.07,False,False,False,True
2025-12-23 18:55:00,2025-12-23 23:35:00,long,4483.01,4477.19,4494.64,4500.46,4500.46,4500.46,3.0,2.41,htf_bias_aligned; liquidity_sweep; bos; fib_79; eq,NY_PM,5,1.4,0.281,529.1,bullish,EQ,0.1,True,True,False,False
2025-12-29 08:05:00,2025-12-29 08:55:00,long,4468.26,4452.95,4498.88,4514.19,4514.19,4452.87,3.0,-1.04,silver_bullet; htf_bias_aligned; liquidity_sweep; fib_79; fvg,London,5,-0.64,-0.127,528.46,bullish,FVG,0.04,False,False,False,True
2025-12-29 09:40:00,2025-12-29 09:45:00,long,4482.97,4472.15,4504.6,4515.42,4515.42,4472.11,3.0,-1.05,htf_bias_aligned; liquidity_sweep; bos; eq,London,4,-0.68,-0.136,527.78,bullish,EQ,0.06,False,False,False,True
2025-12-31 14:35:00,2025-12-31 14:45:00,short,4338.94,4349.82,4317.19,4306.31,4306.31,4349.87,3.0,-1.05,htf_bias_aligned; liquidity_sweep; smt; fvg,NY_AM,4,-0.69,-0.137,527.1,bearish,FVG,0.06,False,False,False,True
2025-12-31 15:25:00,2025-12-31 20:00:00,short,4343.0,4355.37,4318.24,4305.87,4305.87,4305.87,3.0,2.46,silver_bullet; htf_bias_aligned; liquidity_sweep; smt; fvg,NY_AM,5,1.52,0.304,528.62,bearish,FVG,0.05,True,True,False,False
2026-01-02 07:05:00,2026-01-02 07:55:00,short,4378.34,4382.99,4369.06,4364.42,4364.42,4383.05,3.0,-1.12,htf_bias_aligned; pdh_pdl_sweep; bos; smt; fib_79; fvg,London,6,-0.68,-0.135,527.94,bearish,FVG,0.13,False,False,False,True
2026-01-02 13:30:00,2026-01-02 14:35:00,short,4378.63,4387.48,4360.93,4352.08,4352.08,4352.08,3.0,2.44,htf_bias_aligned; pdh_pdl_sweep; bos; smt; fib_79; fvg,NY_AM,6,1.51,0.303,529.45,bearish,FVG,0.07,True,True,False,False
2026-01-02 14:35:00,2026-01-02 15:20:00,short,4363.99,4374.52,4342.93,4332.39,4332.39,4332.39,3.0,2.45,htf_bias_aligned; pdh_pdl_sweep; bos; choch; smt; fib_79; fvg,NY_AM,7,1.55,0.31,531.0,bearish,FVG,0.06,True,True,False,False
2026-01-05 09:10:00,2026-01-05 11:15:00,long,4428.24,4422.63,4439.44,4445.04,4445.04,4428.2,3.0,0.91,htf_bias_aligned; liquidity_sweep; bos; smt; fvg,London,5,0.56,0.112,531.56,bullish,FVG,0.11,True,False,False,True
2026-01-05 14:45:00,2026-01-05 15:00:00,long,4419.02,4409.81,4437.43,4446.64,4446.64,4446.64,3.0,2.45,htf_bias_aligned; liquidity_sweep; bos; smt; fvg,NY_AM,5,1.58,0.315,533.14,bullish,FVG,0.07,True,True,False,False
2026-01-05 15:00:00,2026-01-06 00:40:00,long,4431.47,4419.92,4454.58,4466.13,4466.13,4431.46,3.0,0.96,silver_bullet; htf_bias_aligned; liquidity_sweep; bos; smt; fib_79; fvg,NY_AM,7,0.66,0.133,533.8,bullish,FVG,0.06,True,False,False,True
2026-01-06 09:50:00,2026-01-06 09:55:00,long,4467.77,4461.09,4481.14,4487.82,4487.82,4461.04,3.0,-1.08,htf_bias_aligned; liquidity_sweep; bos; smt; fib_79; fvg,London,6,-0.65,-0.13,533.15,bullish,FVG,0.09,False,False,False,True
2026-01-07 07:00:00,2026-01-07 07:05:00,long,4455.57,4447.42,4471.87,4480.02,4480.02,4447.35,3.0,-1.07,htf_bias_aligned; liquidity_sweep; smt; fvg,London,4,-0.7,-0.14,532.45,bullish,FVG,0.08,False,False,False,True
2026-01-07 07:45:00,2026-01-07 09:05:00,long,4461.3,4454.84,4474.23,4480.69,4480.69,4461.23,3.0,0.92,htf_bias_aligned; liquidity_sweep; bos; smt; eq,London,5,0.59,0.119,533.05,bullish,EQ,0.1,True,False,False,True
2026-01-08 07:50:00,2026-01-08 08:30:00,long,4430.12,4423.59,4443.2,4449.74,4449.74,4423.55,3.0,-1.08,htf_bias_aligned; liquidity_sweep; bos; fvg,London,4,-0.64,-0.127,532.41,bullish,FVG,0.09,False,False,False,True
2026-01-08 13:35:00,2026-01-08 14:05:00,long,4429.17,4421.03,4445.45,4453.59,4453.59,4420.99,3.0,-1.07,htf_bias_aligned; pdh_pdl_sweep; bos; fvg,NY_AM,4,-0.69,-0.139,531.72,bullish,FVG,0.08,False,False,False,True
2026-01-12 14:05:00,2026-01-12 14:35:00,short,4610.13,4620.75,4588.88,4578.26,4578.26,4610.21,3.0,0.95,htf_bias_aligned; liquidity_sweep; smt; fvg,NY_AM,4,0.6,0.121,532.32,bearish,FVG,0.06,True,False,False,True
2026-01-16 07:00:00,2026-01-16 07:05:00,long,4609.01,4602.37,4622.28,4628.91,4628.91,4602.31,3.0,-1.08,htf_bias_aligned; liquidity_sweep; bos; smt; fvg,London,5,-0.65,-0.13,531.67,bullish,FVG,0.09,False,False,False,True
2026-01-16 14:30:00,2026-01-16 15:20:00,long,4606.45,4595.9,4627.57,4638.13,4638.13,4595.87,3.0,-1.05,htf_bias_aligned; liquidity_sweep; bos; smt; eq,NY_AM,5,-0.66,-0.133,531.01,bullish,EQ,0.06,False,False,False,True
2026-01-21 18:40:00,2026-01-21 19:25:00,long,4832.67,4820.71,4856.59,4868.56,4868.56,4820.69,3.0,-1.04,htf_bias_aligned; liquidity_sweep; smt; fvg,NY_PM,4,-0.5,-0.1,530.51,bullish,FVG,0.04,False,False,False,True
2026-01-22 07:05:00,2026-01-22 09:30:00,long,4828.82,4822.08,4842.3,4849.04,4849.04,4822.06,3.0,-1.08,htf_bias_aligned; liquidity_sweep; bos; fib_79; fvg,London,5,-0.51,-0.102,530.0,bullish,FVG,0.07,False,False,False,True
2026-01-22 13:45:00,2026-01-22 13:50:00,long,4828.74,4819.32,4847.6,4857.03,4857.03,4819.23,3.0,-1.06,htf_bias_aligned; liquidity_sweep; bos; fib_79; fvg,NY_AM,5,-0.5,-0.1,529.5,bullish,FVG,0.05,False,False,False,True
2026-01-26 13:50:00,2026-01-26 13:55:00,long,5095.94,5083.65,5120.53,5132.82,5132.82,5083.6,3.0,-1.04,htf_bias_aligned; liquidity_sweep; bos; eq,NY_AM,4,-0.51,-0.103,528.99,bullish,EQ,0.04,False,False,False,True
2026-01-26 18:45:00,2026-01-26 18:50:00,long,5096.09,5081.22,5125.81,5140.67,5140.67,5081.13,3.0,-1.04,htf_bias_aligned; liquidity_sweep; bos; smt; fvg,NY_PM,5,-0.46,-0.093,528.52,bullish,FVG,0.03,False,False,False,True
